time_h,policy,backlog_age_p95_High,backlog_n_High,backlog_age_p95_Medium,backlog_n_Medium,backlog_age_p95_Low,backlog_n_Low
0.0,FIFO,,0,,0,,0
24.0,FIFO,,0,0.4239963376580467,1,,0
48.0,FIFO,,0,,0,,0
72.0,FIFO,0.1821682059133464,2,0.03212650542134791,1,0.35586743453883446,1
96.0,FIFO,1.1821682059133465,2,0.9334223863263492,3,1.3286844960727329,2
120.0,FIFO,2.1821682059133463,2,1.933422386326349,3,2.328684496072733,2
144.0,FIFO,0.9523579862598007,1,2.038476382997317,1,2.812208665216806,1
168.0,FIFO,,0,0.7720446837132044,1,3.812208665216806,1
192.0,FIFO,0.937815649611751,1,1.7720446837132044,1,4.590527533848691,2
216.0,FIFO,1.937815649611751,1,2.7720446837132044,1,1.2629497763417261,4
240.0,FIFO,0.5917770806034746,1,,0,2.2629497763417263,4
264.0,FIFO,1.5481238758010303,2,,0,3.185858935333203,6
288.0,FIFO,2.5481238758010303,2,0.9553736741895006,2,4.108768094324678,8
312.0,FIFO,3.5481238758010303,2,1.9553736741895005,2,4.482847890900463,9
336.0,FIFO,,0,2.9553736741895005,2,5.029227726996053,8
360.0,FIFO,0.5773454547322695,1,3.9553736741895005,2,5.9911740757673115,9
384.0,FIFO,1.5773454547322696,1,4.9553736741895005,2,5.480747825385429,8
408.0,FIFO,2.5773454547322694,1,5.213147101592415,2,6.480747825385429,8
432.0,FIFO,3.5773454547322694,1,5.9741522051361375,3,7.480747825385429,8
456.0,FIFO,4.353079086566565,2,6.73515730867986,4,8.471588133660855,11
480.0,FIFO,5.353079086566565,2,7.7351573086798595,4,9.076625683082556,10
504.0,FIFO,6.353079086566565,2,8.73515730867986,4,9.185873608309388,9
528.0,FIFO,7.12881271840086,3,9.496162412223585,5,10.185873608309388,9
552.0,FIFO,7.904546350235153,4,6.446745080329201,6,8.04479868396454,7
576.0,FIFO,4.856303121192239,3,7.401645282610406,7,7.182510892458606,5
600.0,FIFO,5.738445636079271,4,8.356545484891614,8,7.9300293528317045,8
624.0,FIFO,6.5027306658533375,6,9.31144568717282,9,8.845868839622737,9
648.0,FIFO,7.384873180740369,7,7.543139487263539,7,8.590178091085463,8
672.0,FIFO,8.38487318074037,7,6.304920383029142,7,8.2355720854788,8
696.0,FIFO,9.38487318074037,7,7.259813948836207,8,8.851587799868508,10
720.0,FIFO,6.645484781716395,6,8.259813948836207,8,6.983539160807576,9
744.0,FIFO,7.645484781716395,6,8.26765634615729,6,6.828293898743712,9
768.0,FIFO,8.491413316683616,8,9.26765634615729,6,7.828293898743712,9
792.0,FIFO,9.491413316683618,8,10.26765634615729,6,8.828293898743711,9
816.0,FIFO,9.30075297289459,7,8.713450682664398,3,9.828293898743711,9
840.0,FIFO,9.649250413289103,6,9.713450682664398,3,10.590330383115214,8
864.0,FIFO,10.649250413289103,6,10.576229420808664,4,11.560844736544864,9
888.0,FIFO,11.649250413289103,6,11.43900815895293,5,11.481373860165581,8
912.0,FIFO,12.649250413289103,6,10.189466592932954,4,11.139423426692789,7
936.0,FIFO,13.649250413289103,6,11.171466134156878,5,12.003215287337952,9
960.0,FIFO,14.649250413289103,6,12.135465216604727,7,12.867007147983113,11
984.0,FIFO,11.001460335005477,3,13.117464757828653,8,12.930594923887563,10
1008.0,FIFO,12.024685730748027,2,6.564805813527015,6,13.902220309740745,11
1032.0,FIFO,13.024685730748027,2,7.564805813527015,6,14.845471081447108,13
1056.0,FIFO,14.024685730748027,2,8.564805813527014,6,14.331772816939147,11
1080.0,FIFO,14.387849784895906,2,9.490422466745892,7,15.123414413181225,13
1104.0,FIFO,15.387849784895904,2,10.41603911996477,8,15.915056009423308,15
1128.0,FIFO,16.387849784895906,2,11.41603911996477,8,16.915056009423306,15
1152.0,FIFO,3.4830594771435606,1,10.899804679330908,7,10.78331096586621,13
1176.0,FIFO,4.48305947714356,1,11.899804679330908,7,11.78331096586621,13
1200.0,FIFO,5.48305947714356,1,12.808262857251028,8,12.78331096586621,13
1224.0,FIFO,6.16470575537719,2,13.71672103517115,9,12.175600940259804,13
1248.0,FIFO,7.16470575537719,2,12.769462646204977,7,13.01098993350282,14
1272.0,FIFO,8.164705755377192,2,13.769462646204977,7,14.01098993350282,14
1296.0,FIFO,9.164705755377192,2,14.767197526903127,8,14.91571456661947,17
1320.0,FIFO,10.164705755377192,2,13.553275432664663,6,13.53102606397148,17
1344.0,FIFO,10.52799831184445,4,10.909342642650278,7,13.611327419235103,16
