time_h,policy,backlog_age_p95_High,backlog_n_High,backlog_age_p95_Medium,backlog_n_Medium,backlog_age_p95_Low,backlog_n_Low
0.0,CVSS-only,,0,,0,,0
24.0,CVSS-only,0.21897841688393416,3,0.3652816799994092,1,,0
48.0,CVSS-only,1.2117545601980886,2,,0,,0
72.0,CVSS-only,0.8461235707101278,2,,0,0.9036090378465008,1
96.0,CVSS-only,1.818066849438652,5,,0,1.9036090378465007,1
120.0,CVSS-only,2.8180668494386523,5,,0,2.9036090378465005,1
144.0,CVSS-only,0.8941025962492469,1,,0,3.9036090378465005,1
168.0,CVSS-only,,0,,0,4.9036090378465005,1
192.0,CVSS-only,0.8934505373515506,2,,0,5.655759489322817,2
216.0,CVSS-only,1.7521604370486419,1,,0,1.9466180673728246,1
240.0,CVSS-only,,0,,0,2.818568176977087,2
264.0,CVSS-only,0.5143381555135657,3,0.9638372895053043,1,3.818568176977087,2
288.0,CVSS-only,1.5007812741696245,4,1.9638372895053042,1,4.818568176977087,2
312.0,CVSS-only,,0,2.9638372895053045,1,5.818568176977087,2
336.0,CVSS-only,,0,3.9638372895053045,1,6.946618067372825,1
360.0,CVSS-only,,0,4.963837289505304,1,7.946618067372825,1
384.0,CVSS-only,,0,,0,8.946618067372825,1
408.0,CVSS-only,0.8202399997277314,2,0.659074256109358,2,0.9751768682014278,1
432.0,CVSS-only,1.8202399997277314,2,1.659074256109358,2,1.9751768682014277,1
456.0,CVSS-only,2.732978920350649,5,2.6590742561093577,2,2.8645351066233267,2
480.0,CVSS-only,2.9428990026393294,4,3.661543516702674,1,3.8645351066233267,2
504.0,CVSS-only,1.3167416423411875,1,4.435797867900422,2,4.864535106623326,2
528.0,CVSS-only,2.3167416423411873,1,5.435797867900422,2,5.753893345045225,3
552.0,CVSS-only,3.033609172918515,3,6.435797867900422,2,6.864535106623326,2
576.0,CVSS-only,3.8579729344120484,4,7.3158035671475306,2,7.864535106623326,2
600.0,CVSS-only,4.857972934412048,4,8.31580356714753,2,8.753893345045226,3
624.0,CVSS-only,5.705050031769003,5,9.31580356714753,2,9.643251583467123,4
648.0,CVSS-only,6.55986526254763,5,10.661543516702674,1,10.753893345045226,3
672.0,CVSS-only,7.55986526254763,5,,0,11.643251583467125,4
696.0,CVSS-only,8.370646167599242,6,,0,12.532609821889023,5
720.0,CVSS-only,8.992207977702462,8,,0,13.643251583467125,4
744.0,CVSS-only,10.18142707265085,7,,0,14.532609821889023,5
768.0,CVSS-only,11.18142707265085,7,,0,15.532609821889023,5
792.0,CVSS-only,11.992207977702462,8,,0,16.42196806031092,6
816.0,CVSS-only,13.370646167599242,6,,0,17.53260982188902,5
840.0,CVSS-only,14.094666237100473,5,,0,18.53260982188902,5
864.0,CVSS-only,13.87259083185976,9,,0,19.53260982188902,5
888.0,CVSS-only,15.178109683169938,8,,0,17.467824269044325,5
912.0,CVSS-only,15.567071980549578,10,0.7740710420832168,1,17.820565585246783,7
936.0,CVSS-only,16.261553129239406,11,1.7740710420832169,1,18.820565585246783,7
960.0,CVSS-only,16.956034277929223,12,2.6436614453789504,2,19.820565585246783,7
984.0,CVSS-only,17.956034277929223,12,1.1658791079978907,1,21.14419492714556,6
1008.0,CVSS-only,19.872590831859757,9,2.1658791079978905,1,22.14419492714556,6
1032.0,CVSS-only,20.872590831859757,9,3.031212271094368,2,22.496936243348017,8
1056.0,CVSS-only,20.95603427792922,12,3.994549963531199,2,23.496936243348017,8
1080.0,CVSS-only,21.34499657530887,14,4.994549963531199,2,24.496936243348017,8
1104.0,CVSS-only,22.34499657530887,14,5.994549963531199,2,25.496936243348017,8
1128.0,CVSS-only,23.039477723998687,15,6.994549963531199,2,26.496936243348017,8
1152.0,CVSS-only,24.95603427792922,12,8.16587910799789,1,27.496936243348017,8
1176.0,CVSS-only,26.261553129239402,11,9.16587910799789,1,28.820565585246783,7
1200.0,CVSS-only,27.261553129239402,11,10.16587910799789,1,29.820565585246783,7
1224.0,CVSS-only,28.261553129239402,11,11.16587910799789,1,31.14419492714556,6
1248.0,CVSS-only,28.650515426619037,13,12.16587910799789,1,32.144194927145556,6
1272.0,CVSS-only,29.34499657530887,14,12.531828483755685,2,33.144194927145556,6
1296.0,CVSS-only,29.733958872688515,16,12.897777859513482,3,34.144194927145556,6
1320.0,CVSS-only,31.650515426619037,13,13.897777859513482,3,35.46782426904433,5
1344.0,CVSS-only,32.95603427792922,12,14.897777859513482,3,35.82056558524678,7
