time_h,policy,backlog_age_p95_High,backlog_n_High,backlog_age_p95_Medium,backlog_n_Medium,backlog_age_p95_Low,backlog_n_Low
0.0,RD+WGPS,,0,,0,,0
24.0,RD+WGPS,0.4239963376580467,1,,0,,0
48.0,RD+WGPS,,0,,0,,0
72.0,RD+WGPS,0.17506263687018966,3,0.35586743453883446,1,,0
96.0,RD+WGPS,1.1608514987838763,5,1.3558674345388344,1,0.8122086652168061,1
120.0,RD+WGPS,2.160851498783876,5,2.3558674345388346,1,1.8122086652168061,1
144.0,RD+WGPS,,0,3.3558674345388346,1,2.812208665216806,1
168.0,RD+WGPS,0.7720446837132044,1,,0,3.812208665216806,1
192.0,RD+WGPS,1.7303332320081317,2,,0,4.590527533848691,2
216.0,RD+WGPS,,0,,0,5.3688464024805755,3
240.0,RD+WGPS,0.5917770806034746,1,,0,6.3688464024805755,3
264.0,RD+WGPS,1.5481238758010303,2,,0,6.925484139744346,5
288.0,RD+WGPS,2.417164261393698,5,0.6312110616240124,1,7.925484139744347,5
312.0,RD+WGPS,,0,1.5755438799596841,2,8.703803008376232,6
336.0,RD+WGPS,,0,,0,9.703803008376232,6
360.0,RD+WGPS,0.5773454547322695,1,,0,10.482121877008115,7
384.0,RD+WGPS,,0,,0,7.917572093646488,6
408.0,RD+WGPS,0.6722440689231656,1,0.5191529452944744,1,8.917572093646488,6
432.0,RD+WGPS,1.6271442712043727,2,1.5191529452944745,1,9.917572093646488,6
456.0,RD+WGPS,2.536944675766786,4,2.434992432085507,2,10.733166515963276,8
480.0,RD+WGPS,,0,3.434992432085507,2,11.733166515963276,8
504.0,RD+WGPS,,0,,0,12.82536930480488,7
528.0,RD+WGPS,0.7269029191102271,2,,0,13.82536930480488,7
552.0,RD+WGPS,0.03066344429834089,1,,0,14.82536930480488,7
576.0,RD+WGPS,1.0168952913557259,2,,0,15.825369304804882,7
600.0,RD+WGPS,1.9893589854704956,4,,0,16.548760938280065,10
624.0,RD+WGPS,2.9480545266426503,7,,0,17.456558149438465,11
648.0,RD+WGPS,3.6669300264925306,2,0.5480478447573015,1,18.456558149438465,11
672.0,RD+WGPS,0.2405928933585673,2,1.5480478447573016,1,19.456558149438465,11
696.0,RD+WGPS,1.2377178174559544,3,2.4393236943058727,2,20.364355360596857,12
720.0,RD+WGPS,,0,3.4393236943058727,2,21.364355360596857,12
744.0,RD+WGPS,,0,2.373564835728734,1,22.27215257175525,13
768.0,RD+WGPS,0.901590802912773,2,3.373564835728734,1,23.27215257175525,13
792.0,RD+WGPS,1.9015908029127733,2,4.373564835728733,1,24.27215257175525,13
816.0,RD+WGPS,,0,,0,23.966704859135273,12
840.0,RD+WGPS,,0,,0,25.018325350215925,11
864.0,RD+WGPS,0.9367225474326233,1,,0,25.966704859135273,12
888.0,RD+WGPS,,0,,0,22.153709445753318,12
912.0,RD+WGPS,,0,,0,23.540818762262127,11
936.0,RD+WGPS,0.6182191702125882,1,0.010101662657007182,1,24.14468859454739,12
960.0,RD+WGPS,1.492944298983111,4,1.0101016626570072,1,24.748558426832655,13
984.0,RD+WGPS,,0,2.010101662657007,1,25.748558426832655,13
1008.0,RD+WGPS,,0,,0,26.748558426832655,13
1032.0,RD+WGPS,,0,,0,26.956298091403195,15
1056.0,RD+WGPS,,0,,0,21.854899742815885,14
1080.0,RD+WGPS,0.4549636829042413,3,0.5602487766345708,1,20.81777256886503,13
1104.0,RD+WGPS,1.4409157857845816,4,1.5602487766345707,1,21.81251190392569,15
1128.0,RD+WGPS,2.440915785784582,4,2.560248776634571,1,22.81251190392569,15
1152.0,RD+WGPS,,0,3.560248776634571,1,23.80988157145602,16
1176.0,RD+WGPS,,0,,0,24.81514223639536,14
1200.0,RD+WGPS,0.9591957046946883,1,,0,25.81514223639536,14
1224.0,RD+WGPS,,0,,0,26.81514223639536,14
1248.0,RD+WGPS,,0,0.9773712083951599,1,27.81777256886503,13
1272.0,RD+WGPS,,0,1.9773712083951598,1,28.81777256886503,13
1296.0,RD+WGPS,0.5536915534387296,1,2.839309869456088,2,29.81251190392569,15
1320.0,RD+WGPS,,0,3.97737120839516,1,30.80988157145602,16
1344.0,RD+WGPS,0.8093706795685781,5,,0,31.80988157145602,16
