time_h,policy,backlog_age_p95_High,backlog_n_High,backlog_age_p95_Medium,backlog_n_Medium,backlog_age_p95_Low,backlog_n_Low
0.0,CVSS-only,,0,,0,,0
24.0,CVSS-only,0.9449371752984286,1,0.3044603823995577,1,,0
48.0,CVSS-only,1.864641939263267,2,1.3044603823995577,1,,0
72.0,CVSS-only,0.7071855446103822,1,2.3044603823995575,1,0.8547031110220106,1
96.0,CVSS-only,1.6328034900472197,2,3.304460382399558,1,1.8547031110220107,1
120.0,CVSS-only,2.5584214354840573,3,4.304460382399558,1,2.7328038731412847,2
144.0,CVSS-only,3.5584214354840573,3,5.304460382399558,1,3.7328038731412847,2
168.0,CVSS-only,4.484039380920895,4,6.304460382399558,1,4.732803873141285,2
192.0,CVSS-only,5.409657326357733,5,7.304460382399558,1,5.610904635260559,3
216.0,CVSS-only,6.260893217231407,7,8.304460382399558,1,6.489005397379833,4
240.0,CVSS-only,7.484039380920895,4,9.304460382399558,1,7.019886956321472,4
264.0,CVSS-only,8.484039380920894,4,10.304460382399558,1,7.741614904754627,5
288.0,CVSS-only,9.409657326357733,5,10.785050267978146,2,8.741614904754627,5
312.0,CVSS-only,10.33527527179457,6,11.785050267978146,2,9.463342853187783,6
336.0,CVSS-only,11.33527527179457,6,12.785050267978146,2,10.185070801620933,7
360.0,CVSS-only,12.260893217231407,7,12.746230039135323,4,11.185070801620933,7
384.0,CVSS-only,13.186511162668245,8,13.746230039135323,4,11.906798750054088,8
408.0,CVSS-only,14.037747053541919,10,14.746230039135323,4,12.628526698487244,9
432.0,CVSS-only,14.888982944415595,12,15.746230039135323,4,13.628526698487244,9
456.0,CVSS-only,15.74021883528927,14,16.746230039135323,4,14.628526698487242,9
480.0,CVSS-only,16.591454726162944,16,17.746230039135323,4,15.628526698487242,9
504.0,CVSS-only,17.51707267159978,17,18.746230039135323,4,16.628526698487242,9
528.0,CVSS-only,18.51707267159978,17,19.746230039135323,4,17.628526698487242,9
552.0,CVSS-only,19.219544453347133,21,20.746230039135323,4,18.628526698487242,9
576.0,CVSS-only,20.368308562473455,19,21.746230039135323,4,19.628526698487242,9
600.0,CVSS-only,21.293926507910296,20,22.226819924713915,5,20.628526698487242,9
624.0,CVSS-only,22.2939265079103,20,22.707409810292507,6,21.350254646920394,10
648.0,CVSS-only,23.219544453347137,21,23.187999695871092,7,22.350254646920394,10
672.0,CVSS-only,24.219544453347137,21,24.18799969587109,7,23.071982595353553,11
696.0,CVSS-only,25.219544453347137,21,24.66858958144968,8,23.793710543786705,12
720.0,CVSS-only,26.0710078482613,24,24.629769352606857,10,24.515438492219857,13
744.0,CVSS-only,27.170032251651858,22,25.629769352606857,10,25.515438492219857,13
768.0,CVSS-only,28.12052004995658,23,26.629769352606857,10,25.95889438908617,15
792.0,CVSS-only,29.12052004995658,23,27.629769352606857,10,26.95889438908617,15
816.0,CVSS-only,30.12052004995658,23,28.11035923818546,11,27.95889438908617,15
840.0,CVSS-only,31.12052004995658,23,29.11035923818546,11,28.95889438908617,15
864.0,CVSS-only,32.120520049956575,23,30.11035923818546,11,29.95889438908617,15
888.0,CVSS-only,33.02149564656602,25,31.11035923818546,11,30.95889438908617,15
912.0,CVSS-only,34.071007848261296,24,32.11035923818546,11,31.95889438908617,15
936.0,CVSS-only,34.971983444870745,26,33.11035923818546,11,32.68062233751933,16
960.0,CVSS-only,35.82344683978491,29,34.11035923818546,11,33.68062233751933,16
984.0,CVSS-only,36.82344683978491,29,35.11035923818546,11,34.68062233751933,16
1008.0,CVSS-only,37.82344683978491,29,36.11035923818546,11,35.68062233751933,16
1032.0,CVSS-only,38.72442243639435,31,36.59094912376404,12,36.68062233751933,16
1056.0,CVSS-only,39.67491023469908,32,37.07153900934262,13,37.40235028595248,17
1080.0,CVSS-only,40.67491023469908,32,38.59094912376404,12,38.68062233751933,16
1104.0,CVSS-only,41.67491023469908,32,39.59094912376404,12,39.68062233751933,16
1128.0,CVSS-only,42.67491023469908,32,40.07153900934262,13,40.68062233751933,16
1152.0,CVSS-only,43.67491023469908,32,41.07153900934262,13,41.68062233751933,16
1176.0,CVSS-only,44.6253980330038,33,42.07153900934262,13,42.68062233751933,16
1200.0,CVSS-only,45.6253980330038,33,43.07153900934262,13,43.12407823438563,18
1224.0,CVSS-only,46.57588583130852,34,43.552128894921225,14,43.845806182818784,19
1248.0,CVSS-only,47.47686142791797,36,44.552128894921225,14,45.12407823438563,18
1272.0,CVSS-only,48.37783702452741,38,45.552128894921225,14,45.845806182818784,19
1296.0,CVSS-only,49.27881262113685,40,46.55212889492122,14,46.56753413125195,20
1320.0,CVSS-only,50.27881262113685,40,47.55212889492122,14,47.56753413125195,20
1344.0,CVSS-only,51.27881262113685,40,48.55212889492122,14,48.23425910110686,22
