time_h,policy,backlog_age_p95_High,backlog_n_High,backlog_age_p95_Medium,backlog_n_Medium,backlog_age_p95_Low,backlog_n_Low
0.0,RD+WGPS,,0,,0,,0
24.0,RD+WGPS,,0,0.4239963376580467,1,,0
48.0,RD+WGPS,,0,,0,,0
72.0,RD+WGPS,0.1821682059133464,2,0.03212650542134791,1,0.35586743453883446,1
96.0,RD+WGPS,1.1821682059133465,2,0.9334223863263492,3,1.3286844960727329,2
120.0,RD+WGPS,2.1821682059133463,2,1.933422386326349,3,2.328684496072733,2
144.0,RD+WGPS,,0,,0,3.328684496072733,2
168.0,RD+WGPS,,0,0.7720446837132044,1,3.812208665216806,1
192.0,RD+WGPS,0.937815649611751,1,1.7720446837132044,1,4.590527533848691,2
216.0,RD+WGPS,,0,,0,5.3688464024805755,3
240.0,RD+WGPS,0.5917770806034746,1,,0,6.3688464024805755,3
264.0,RD+WGPS,1.5481238758010303,2,,0,6.925484139744346,5
288.0,RD+WGPS,2.5481238758010303,2,0.9553736741895006,2,7.482121877008114,7
312.0,RD+WGPS,,0,,0,8.26044074564,8
336.0,RD+WGPS,,0,,0,9.703803008376232,6
360.0,RD+WGPS,0.5773454547322695,1,,0,10.482121877008115,7
384.0,RD+WGPS,,0,,0,7.825369304804881,7
408.0,RD+WGPS,,0,0.6722440689231656,1,8.82536930480488,7
432.0,RD+WGPS,,0,1.6271442712043727,2,9.82536930480488,7
456.0,RD+WGPS,0.09201809141817326,1,2.5820444734855794,3,10.548760938280065,10
480.0,RD+WGPS,,0,,0,11.548760938280065,10
504.0,RD+WGPS,,0,,0,12.82536930480488,7
528.0,RD+WGPS,0.7348683891588313,1,0.575558988186747,1,13.82536930480488,7
552.0,RD+WGPS,0.03066344429834089,1,,0,14.82536930480488,7
576.0,RD+WGPS,1.030663444298341,1,0.7553003854460391,1,15.825369304804882,7
600.0,RD+WGPS,1.9536277117819518,2,1.7164346996243378,2,16.548760938280065,10
624.0,RD+WGPS,2.799556246749173,4,2.677569013802637,3,17.456558149438465,11
648.0,RD+WGPS,,0,3.6669300264925306,2,18.364355360596857,12
672.0,RD+WGPS,,0,0.24346796926117995,1,19.27215257175525,13
696.0,RD+WGPS,,0,1.2254675104851045,2,20.08774699407204,15
720.0,RD+WGPS,,0,,0,19.863463876973977,14
744.0,RD+WGPS,,0,,0,20.811843385893326,15
768.0,RD+WGPS,0.901590802912773,2,,0,21.811843385893326,15
792.0,RD+WGPS,1.9015908029127733,2,,0,22.811843385893326,15
816.0,RD+WGPS,,0,,0,21.87977522875551,14
840.0,RD+WGPS,,0,,0,20.153709445753318,12
864.0,RD+WGPS,,0,0.9367225474326233,1,20.75839935542094,13
888.0,RD+WGPS,,0,,0,18.586077704173675,13
912.0,RD+WGPS,,0,,0,19.586897781556033,12
936.0,RD+WGPS,,0,0.6182191702125882,1,20.585257626791318,14
960.0,RD+WGPS,,0,1.534702589392937,3,21.583617472026607,16
984.0,RD+WGPS,,0,,0,18.568390716485194,15
1008.0,RD+WGPS,,0,,0,19.568390716485194,15
1032.0,RD+WGPS,,0,,0,19.99537266382382,17
1056.0,RD+WGPS,,0,,0,19.81251190392569,15
1080.0,RD+WGPS,0.4830594771435604,1,0.20210153475036918,1,20.81251190392569,15
1104.0,RD+WGPS,1.4830594771435603,1,1.1533083860670208,2,21.80725123898635,17
1128.0,RD+WGPS,2.4830594771435606,1,2.1533083860670206,2,22.80725123898635,17
1152.0,RD+WGPS,,0,,0,23.80725123898635,17
1176.0,RD+WGPS,,0,,0,24.81514223639536,14
1200.0,RD+WGPS,,0,0.9591957046946883,1,25.81514223639536,14
1224.0,RD+WGPS,,0,,0,26.431828830980805,14
1248.0,RD+WGPS,,0,,0,27.399712851940784,15
1272.0,RD+WGPS,,0,,0,28.399712851940784,15
1296.0,RD+WGPS,,0,0.5536915534387296,1,29.30336491482072,18
1320.0,RD+WGPS,,0,,0,20.841898360459986,18
1344.0,RD+WGPS,0.7009233019882851,2,0.8146878764281775,2,21.841898360459986,18
