scenario,policy,high_started,high_arrivals,high_started_over_arrivals,high_started_over_arrivals_disp,wait_km_p50_h,wait_km_p90_h,wait_max_bound_h,overline_B95_days,util_mean,eow_start_share_mean
S1_normal,CVSS-only,17,19,0.8943387062427309,"0.89 [0.74,1.00]","57.6 [35.2,92.2]","184.9 [77.6,410.8]","514.6 [95.5,1121.4]","8.24 [1.29,20.87]","0.895 [0.805,0.950]","0.031 [0.009,0.060]"
S1_normal,FIFO,16,19,0.8138277865638547,"0.81 [0.55,1.00]","163.5 [62.6,312.6]","272.4 [128.9,443.7]","304.9 [135.4,463.2]","5.28 [2.28,9.64]","0.904 [0.828,0.957]","0.051 [0.006,0.091]"
S1_normal,R-risk-only,18,19,0.9687535218765869,"0.97 [0.88,1.00]","47.6 [35.9,68.6]","127.8 [77.7,367.8]","217.1 [88.2,570.1]","2.97 [1.26,8.96]","0.900 [0.813,0.949]","0.026 [0.000,0.058]"
S1_normal,RD+WGPS,19,19,0.9929333955804545,"0.99 [0.94,1.00]","41.0 [26.6,54.8]","80.7 [57.2,93.5]","89.5 [75.6,95.4]","1.15 [0.84,1.38]","0.870 [0.808,0.922]","0.001 [0.000,0.012]"
S2_kev_burst,CVSS-only,17,19,0.8827547910179487,"0.88 [0.71,1.00]","61.4 [33.4,89.5]","233.6 [76.9,634.1]","522.8 [129.6,1104.9]","8.53 [1.69,20.36]","0.897 [0.750,0.954]","0.034 [0.000,0.077]"
S2_kev_burst,FIFO,15,19,0.7847545884914305,"0.78 [0.60,0.94]","179.2 [48.4,347.6]","297.1 [100.7,479.5]","313.6 [114.5,483.2]","5.53 [1.46,9.65]","0.908 [0.818,0.964]","0.045 [0.000,0.102]"
S2_kev_burst,R-risk-only,19,19,0.9609287612971824,"0.96 [0.84,1.00]","49.7 [31.1,88.9]","126.5 [64.1,247.2]","209.2 [75.6,512.1]","2.91 [1.02,7.41]","0.906 [0.842,0.954]","0.032 [0.006,0.069]"
S2_kev_burst,RD+WGPS,19,19,0.9853355611250348,"0.99 [0.89,1.00]","42.8 [29.2,63.1]","82.3 [63.8,94.0]","89.1 [73.7,95.8]","1.19 [0.88,1.46]","0.876 [0.798,0.934]","0.001 [0.000,0.016]"
S3_lowcap_hetero,CVSS-only,6,19,0.30736670106639147,"0.31 [0.15,0.56]","315.1 [149.3,618.6]",--,"1182.3 [938.3,1330.3]","22.83 [17.28,27.11]","0.830 [0.695,0.921]","0.047 [0.000,0.135]"
S3_lowcap_hetero,FIFO,4,19,0.23481628908873495,"0.23 [0.08,0.44]","842.7 [576.0,1101.2]","1008.0 [903.7,1122.8]","983.2 [774.7,1157.4]","19.11 [14.18,24.16]","0.823 [0.595,0.910]","0.061 [0.000,0.175]"
S3_lowcap_hetero,R-risk-only,8,19,0.4223209985748685,"0.42 [0.10,0.65]","423.6 [149.0,959.3]",--,"1127.5 [797.4,1312.4]","21.18 [13.88,26.91]","0.838 [0.725,0.923]","0.060 [0.000,0.211]"
S3_lowcap_hetero,RD+WGPS,18,19,0.932531000704375,"0.93 [0.79,1.00]","71.8 [35.4,124.7]","150.2 [125.0,166.7]","156.4 [137.2,168.1]","2.40 [1.90,2.80]","0.860 [0.786,0.918]","0.020 [0.000,0.053]"
