time_h,policy,backlog_age_p95_High,backlog_n_High,backlog_age_p95_Medium,backlog_n_Medium,backlog_age_p95_Low,backlog_n_Low
0.0,FIFO,,0,,0,,0
24.0,FIFO,0.21897841688393416,3,0.3652816799994092,1,,0
48.0,FIFO,1.024377648363244,1,,0,0.9099521392243582,1
72.0,FIFO,0.8461235707101278,2,,0,0.9036090378465008,1
96.0,FIFO,1.818066849438652,5,,0,1.9036090378465007,1
120.0,FIFO,2.8180668494386523,5,,0,2.9036090378465005,1
144.0,FIFO,3.8087146090148267,6,,0,,0
168.0,FIFO,2.9894507044962046,2,,0,,0
192.0,FIFO,3.874150903628103,4,,0,0.9466180673728246,1
216.0,FIFO,1.8860142162829765,3,,0,,0
240.0,FIFO,1.6336075501737521,1,,0,0.3856202594580805,1
264.0,FIFO,2.3197842053779056,4,0.9638372895053043,1,1.3856202594580804,1
288.0,FIFO,3.215176423779291,5,1.9638372895053042,1,2.3856202594580806,1
312.0,FIFO,2.487224392825683,5,,0,,0
336.0,FIFO,2.737709722884163,2,,0,,0
360.0,FIFO,3.737709722884163,2,,0,,0
384.0,FIFO,,0,,0,,0
408.0,FIFO,0.8202399997277314,2,0.659074256109358,2,0.9751768682014278,1
432.0,FIFO,1.8202399997277314,2,1.659074256109358,2,1.9751768682014277,1
456.0,FIFO,2.732978920350649,5,2.6590742561093577,2,2.8645351066233267,2
480.0,FIFO,2.857514287427975,6,3.656604995516042,3,1.762341636639403,1
504.0,FIFO,3.857514287427975,6,1.244051287703465,2,2.762341636639403,1
528.0,FIFO,4.857514287427975,6,2.244051287703465,2,3.6159501669283443,2
552.0,FIFO,0.47406028018275703,2,3.244051287703465,2,4.469558697217285,3
576.0,FIFO,1.451346944319337,4,0.7467445255998039,1,5.469558697217285,3
600.0,FIFO,2.451346944319337,4,1.746744525599804,1,6.323167227506225,4
624.0,FIFO,3.439990276387627,5,2.7467445255998038,1,7.176775757795166,5
648.0,FIFO,4.428633608455916,6,3.7467445255998038,1,5.70175745159969,4
672.0,FIFO,5.428633608455916,6,4.746744525599804,1,6.657505854660179,5
696.0,FIFO,6.417276940524206,7,5.746744525599804,1,7.613254257720667,6
720.0,FIFO,7.394563604660787,9,6.746744525599804,1,5.1902603882609055,5
744.0,FIFO,6.718261448840881,8,7.746744525599804,1,6.165386785660128,6
768.0,FIFO,7.718261448840881,8,8.746744525599803,1,7.165386785660128,6
792.0,FIFO,8.601961692479092,9,9.746744525599803,1,8.14051318305935,7
816.0,FIFO,7.801615617370904,8,,0,8.646435907348204,6
840.0,FIFO,6.021219087530145,7,,0,9.646435907348204,6
864.0,FIFO,6.7901668126268175,11,,0,10.646435907348204,6
888.0,FIFO,7.6746406751751515,13,,0,9.33334542086237,6
912.0,FIFO,8.183243608678369,14,0.7740710420832168,1,10.18009189584701,8
936.0,FIFO,9.180990338163744,15,1.7740710420832169,1,11.18009189584701,8
960.0,FIFO,10.178737067649118,16,2.6436614453789504,2,12.18009189584701,8
984.0,FIFO,11.178737067649118,16,3.6436614453789504,2,10.124880914820274,5
1008.0,FIFO,11.97738091618579,16,4.64366144537895,2,11.124880914820274,5
1032.0,FIFO,12.97738091618579,16,5.513251848674685,3,11.962775756475612,7
1056.0,FIFO,10.041165884757204,19,6.382842251970417,4,10.663524941257476,6
1080.0,FIFO,10.067220380343016,21,7.382842251970417,4,11.430621999896372,7
1104.0,FIFO,11.067220380343016,21,8.382842251970416,4,12.430621999896372,7
1128.0,FIFO,12.056878178616909,22,9.382842251970416,4,13.430621999896372,7
1152.0,FIFO,13.056878178616909,22,10.382842251970416,4,11.02044314975351,6
1176.0,FIFO,13.860376345820876,21,11.382842251970416,4,12.02044314975351,6
1200.0,FIFO,14.860376345820876,21,12.382842251970416,4,13.02044314975351,6
1224.0,FIFO,14.487784159041851,18,13.382842251970416,4,13.990535615536016,7
1248.0,FIFO,14.57263342607118,17,14.382842251970416,4,14.960628081318525,8
1272.0,FIFO,15.54191514657632,18,15.252432655266151,5,15.960628081318525,8
1296.0,FIFO,16.480478587586603,20,16.122023058561886,6,16.960628081318525,8
1320.0,FIFO,16.7126304736023,19,17.122023058561886,6,17.476100155486165,7
1344.0,FIFO,16.860412816370907,19,15.627211760383801,5,18.444190161817847,9
